,Час
0,0.04385277995301488
1,0.030931871574001565
2,0.023101018010963197
3,0.020751761942051684
4,0.023492560689115115
5,0.019772905246671888
6,0.014878621769772905
7,0.02760375880971026
8,0.02486296006264683
9,0.04365700861393892
10,0.05892717306186374
11,0.06793265465935787
12,0.07458888018794048
13,0.052662490211433044
14,0.05540328895849648
15,0.04835552075176194
16,0.05109631949882537
17,0.04894283476898982
18,0.050313234142521535
19,0.05207517619420517
20,0.04306969459671104
21,0.04365700861393892
22,0.039741581832419735
23,0.04032889584964761
